date,pembulatan,kredit,cadangan kerugian kredit,kol1,kol2,kol3,kol4,kol5,giro,tabungan,deposito,e-money,debt,liabilitas,ekuitas,pendapatan bunga,beban bunga,pendapatan bersih,pendapatan premi bersih,beban nilai aset keuangan,beban nilai liabilitas keuangan,beban nilai penjualan aset keuangan,beban nilai transaksi spot derivatif,beban nilai penyertaan equity,beban nilai valas,pendapatan dividen,pendapatan komisi,pendapatan lainnya,beban impairment,beban risiko operasional,beban tenaga kerja,beban promosi,beban lainnya,total pendapatan beban operasional,laba operasional,laba sebelum pajak,laba bersih,laba komprehensif
2022-04-30,1000000.0,10850175.0,676334.0,,,,,,27122.0,2696716.0,8584864.0,,100000.0,12312276.0,7177666.0,1681490.0,107339.0,1574151.0,,,,,,,,,293.0,16641.0,250610.0,1838.0,398574.0,1309.0,224867.0,-860495.0,713656.0,713214.0,556950.0,556910.0
2022-05-31,1000000.0,11041666.0,672850.0,,,,,,26137.0,2861075.0,8522685.0,,100000.0,12032979.0,7331475.0,2128870.0,135068.0,1993802.0,,,,,,,,,378.0,18816.0,315320.0,2089.0,494732.0,1544.0,288217.0,-1082985.0,910817.0,910431.0,710680.0,710720.0
2022-06-30,1000000.0,11145830.0,669219.0,,,,,,26690.0,2703729.0,8979663.0,0.0,200000.0,12551228.0,7480111.0,2566725.0,162012.0,2404713.0,,,,,,,,,,,385890.0,,846860.0,,,,1097108.0,1097163.0,856287.0,856267.0
2022-07-31,1000000.0,11269724.0,664380.0,,,,,,26667.0,2857136.0,8870507.0,,100000.0,12420769.0,7636882.0,3029844.0,191421.0,2838423.0,,,,,,,,,740.0,23237.0,459930.0,2626.0,693713.0,2242.0,401385.0,-1536287.0,1302136.0,1301992.0,1016127.0,1016126.0
2022-08-31,1000000.0,11281047.0,663441.0,,,,,,27246.0,3002668.0,8836546.0,,100000.0,12596887.0,7797604.0,3498018.0,219767.0,3278251.0,,,,,,,,,856.0,25679.0,537660.0,3485.0,794055.0,2745.0,457130.0,-1768954.0,1509297.0,1508930.0,1176857.0,1176848.0
2022-09-30,1000000.0,11347976.0,676686.0,,,,,,26786.0,2943772.0,8900058.0,0.0,0.0,12622867.0,7951491.0,3955779.0,247006.0,3708773.0,,,,,,,,,,,634515.0,,846860.0,,,,1701304.0,1701400.0,1327690.0,1327646.0
2022-10-31,1000000.0,11470836.0,697989.0,,,,,,27081.0,3012571.0,9060030.0,,100000.0,12860371.0,8100836.0,4437230.0,277384.0,4159846.0,,,,,,,,,1079.0,46718.0,729205.0,5337.0,1001598.0,3669.0,570561.0,-2263079.0,1896767.0,1896833.0,1480085.0,1480081.0
2022-11-30,1000000.0,11470065.0,712425.0,,,,,,27350.0,3066365.0,8773448.0,,100000.0,12609748.0,8250715.0,4901719.0,309313.0,4592406.0,,,,,,,,,1212.0,50551.0,818152.0,5921.0,1105349.0,4047.0,622243.0,-2504504.0,2087902.0,2088985.0,1629960.0,1629960.0
2022-12-31,1000000.0,11523947.0,768862.0,0.0,0.0,0.0,0.0,0.0,27646.0,2941288.0,9079595.0,0.0,0.0,12753981.0,8407995.0,5373790.0,344440.0,5029350.0,,,,,,,,,,,945052.0,,846860.0,,,,2280452.0,2282394.0,1779580.0,1784150.0
2023-01-31,1000000.0,11560192.0,769487.0,,,,,,28253.0,2836942.0,9636979.0,,100000.0,13254685.0,8535594.0,470062.0,37104.0,432958.0,,,,,,,,,162.0,10620.0,98879.0,1385.0,107827.0,1224.0,54559.0,-253153.0,179805.0,180618.0,140029.0,139970.0
